Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,G,GS,W,L,QS,SV,IP,H,ER,R,ER/G,R/G,BB,K,HR,ERA,FIP,WHIP,K/9,BB/9,K/BB,HR/9,IP/G
2862,1243322112,B. Madliak,Bear Madliak,Madliak,Bear,C,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1257342976,I. Landry,Isaiah Landry,Landry,Isaiah,CF,Alabama State University,ALST,4765,Alabama State,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1305030400,M. Dallas,Michael Dallas,Dallas,Michael,P,University of Memphis,MEM,730172160,Memphis,BBC,R,R,144,8,0,0,1,0,0,4.1,7,10,10,1.25,1.25,13,7,1,20.77,13.33,4.62,14.54,27.00,0.54,2.08,0.2
2862,1307036416,D. Brooks,Devin Brooks,Brooks,Devin,P,Alabama State University,ALST,4765,Alabama State,BBC,R,R,15,1,0,0,0,0,0,0.2,0,0,0,0.00,0.00,2,0,0,0.00,12.18,3.00,0.00,27.00,0.00,0.00,0.2
2862,1318257408,J. George,Jamal George,George,Jamal,RF,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1329239808,B. Norton,Brennen Norton,Norton,Brennen,2B,University of Alabama,ALA,730206976,Alabama,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1100670720,H. Smith,Hank Smith,Smith,Hank,C,University of West Georgia,UOWG,730308864,West Georgia,BBC,L,L,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1306936320,R. Vermillion,Ryan Vermillion,Vermillion,Ryan,P,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,142,6,0,0,0,0,0,6.2,8,8,9,1.33,1.50,6,8,0,10.80,4.38,2.10,10.80,8.10,1.33,0.00,1.0
2862,1124535552,B. Holloway,Brady Holloway,Holloway,Brady,P,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,L,L,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1164594432,O. Akens,Ollie Akens,Akens,Ollie,P,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,645,18,0,2,2,0,2,33.1,40,29,32,1.61,1.78,25,31,6,7.83,6.00,1.95,8.37,6.75,1.24,1.62,2.0
