Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,1B%,x1B%,2B%,x2B%,3B%,x3B%,HR%,xHR%,XBH%,xXBH%
,1347278068,C. Jacome,Carlos Jacome,Jacome,Carlos,2B,University of South Florida,USF,2292,South Florida,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342168856,J. Norton,Jace Norton,Norton,Jace,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1434089284,A. Barrist,Alex Barrist,Barrist,Alex,2B,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1305044504,T. Jones,Tyler Jones,Jones,Tyler,3B,George Washington University,GW,730249216,George Washington,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1967591367,M. Riske,Maddox Riske,Riske,Maddox,3B,University of Southern California,USC,5047,USC,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1573222752,B. Short,Brodie Short,Short,Brodie,C,Lindenwood University,LU,730322176,Lindenwood,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1214487336,T. Ellis,Tyler Ellis,Ellis,Tyler,1B,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1337960917,G. Licciardi,Giovanni Licciardi,Licciardi,Giovanni,2B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1948842656,B. McGee,Brady McGee,McGee,Brady,SS,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1112075079,R. Wright,Raef Wright,Wright,Raef,LF,Tarleton State University,TAR,730236416,Tarleton State,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342170228,B. Wilson,Blake Wilson,Wilson,Blake,2B,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1764298187,J. Hamilton,Jack Hamilton,Hamilton,Jack,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1787329008,B. Gostisha,Braden Gostisha,Gostisha,Braden,RF,Tarleton State University,TAR,730236416,Tarleton State,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1802827419,M. Kirk,Mason Kirk,Kirk,Mason,3B,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1086914846,M. Craig,Michael Craig,Craig,Michael,1B,Hofstra University,HOF,730245120,Hofstra,BBC,L,L,0,0,-,-,-,-,-,-,-,-,-,-
,1161521072,L. Clark,Levi Clark,Clark,Levi,C,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1177621455,J. Harring,Jake Harring,Harring,Jake,2B,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1222218338,C. Griggs,CJ Griggs,Griggs,CJ,C,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1449180896,C. Newstrom,Chris Newstrom,Newstrom,Chris,LF,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342169012,L. Bragga,Luke Bragga,Bragga,Luke,RF,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1374148127,T. Denet,Tim Denet,Denet,Tim,3B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1601342214,R. Wegrzyn,Robert Wegrzyn,Wegrzyn,Robert,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1038434680,X. McAfee,Xander McAfee,McAfee,Xander,RF,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1143518833,L. Haskins,Larry Haskins,Haskins,Larry,SS,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1357578380,J. Lang,Jacob Lang,Lang,Jacob,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
