Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
106,1178185729,I. Shirey,Ike Shirey,Shirey,Ike,SS,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,54,224,837,59.4%,1.9%,0.9%,24.5%,6.3%,6.8%,0.0%,0.2%,22.6%,61.3%,37.8%,31.0%
107,1317505536,T. Elliott,Travis Elliott,Elliott,Travis,2B,The Citadel,CIT,730366720,The Citadel,BBC,R,R,56,247,921,59.4%,1.6%,1.3%,25.8%,3.0%,8.4%,0.5%,0.0%,6.9%,61.0%,37.7%,28.8%
108,1186391040,G. Merlonghi,Gianno Merlonghi,Merlonghi,Gianno,RF,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,45,213,674,59.4%,1.1%,0.8%,28.0%,4.2%,5.7%,0.8%,0.0%,61.3%,60.5%,38.7%,32.2%
109,1763574886,N. Sparks,Nolan Sparks,Sparks,Nolan,LF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,51,206,730,59.4%,3.6%,2.6%,10.9%,14.8%,8.7%,0.0%,0.0%,16.7%,63.0%,34.4%,25.7%
110,1581848523,G. Lakins,Gunner Lakins,Lakins,Gunner,RF,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,38,151,364,59.3%,3.4%,0.0%,22.0%,6.8%,8.5%,0.0%,0.0%,83.8%,62.7%,37.3%,28.8%
111,1434805078,N. Dicarlo,Nick Dicarlo,Dicarlo,Nick,CF,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,L,51,189,620,59.3%,6.7%,3.2%,16.2%,5.5%,8.5%,0.4%,0.2%,20.3%,66.0%,30.8%,21.9%
112,1077015040,J. King,Jake King,King,Jake,LF,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,L,L,51,244,986,59.3%,3.6%,2.3%,16.1%,5.4%,13.0%,0.2%,0.2%,37.7%,62.9%,34.9%,21.7%
113,1447316056,C. Greene,Cameron Greene,Greene,Cameron,SS,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,L,R,52,203,788,59.3%,3.3%,2.2%,17.0%,2.6%,15.7%,0.0%,0.0%,41.8%,62.5%,35.3%,19.6%
113,1005553647,T. Aoki,Tanner Aoki,Aoki,Tanner,3B,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,S,R,41,175,407,59.3%,0.0%,0.0%,24.1%,1.9%,14.8%,0.0%,0.0%,86.7%,59.3%,40.7%,25.9%
115,1264072192,M. Echazarreta,Miggy Echazarreta,Echazarreta,Miggy,RF,High Point University,HP,730321152,High Point,BBC,L,R,53,254,1109,59.1%,6.2%,2.9%,12.5%,6.2%,13.0%,0.2%,0.0%,3.3%,65.3%,31.8%,18.7%
116,1221857536,K. Hess,Kyle Hess,Hess,Kyle,2B,Creighton University,CREI,730243840,Creighton,BBC,L,R,52,215,883,59.1%,3.6%,1.7%,17.1%,5.5%,12.5%,0.5%,0.0%,11.3%,62.7%,35.6%,22.6%
117,1801471405,H. Sute,Hunter Sute,Sute,Hunter,C,Manhattan College,MAN,730363648,Manhattan,BBC,L,R,41,158,587,59.1%,4.8%,3.6%,17.5%,1.6%,9.5%,4.0%,0.0%,57.1%,63.9%,32.5%,19.0%
118,1320034048,E. Bottone,Evan Bottone,Bottone,Evan,CF,University of Akron,AKR,540536064,Akron,BBC,L,R,52,249,951,59.1%,1.8%,2.5%,17.6%,5.3%,12.8%,0.8%,0.0%,16.9%,60.9%,36.6%,23.0%
119,1074012160,T. Rice,Trent Rice,Rice,Trent,CF,Oakland University,OAK,5386,Oakland,BBC,R,R,55,223,856,59.1%,1.5%,3.2%,24.9%,5.5%,5.0%,0.6%,0.0%,15.5%,60.6%,36.2%,30.7%
120,1220509440,A. Saunier,Alexander Saunier,Saunier,Alexander,CF,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,46,193,686,59.0%,1.9%,0.7%,16.9%,8.6%,11.9%,1.0%,0.0%,16.5%,60.9%,38.4%,25.5%
121,1627915882,B. Regala,Braden Regala,Regala,Braden,CF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,S,L,54,228,865,59.0%,4.4%,4.0%,11.8%,5.6%,14.7%,0.4%,0.0%,11.2%,63.4%,32.6%,17.4%
122,1026347039,J. Bullock,Jabril Bullock,Bullock,Jabril,2B,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,35,150,532,59.0%,0.0%,0.0%,15.4%,5.1%,20.5%,0.0%,0.0%,92.7%,59.0%,41.0%,20.5%
123,1238039808,J. Cook,Jake Cook,Cook,Jake,CF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,59,284,1083,58.9%,3.0%,3.5%,15.9%,5.8%,12.2%,0.7%,0.0%,0.6%,61.9%,34.6%,21.7%
124,1280636850,A. Singer,AJ Singer,Singer,AJ,2B,Oregon State University,ORST,3111,Oregon State,BBC,R,R,64,287,1106,58.9%,3.9%,3.1%,21.9%,4.1%,7.6%,0.2%,0.1%,5.2%,62.8%,34.0%,26.2%
125,1686573078,H. Brignac,Hudson Brignac,Brignac,Hudson,2B,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,56,222,856,58.9%,4.2%,1.5%,21.2%,7.5%,6.6%,0.0%,0.0%,14.7%,63.2%,35.3%,28.8%
126,1162109952,C. Newman,Carter Newman,Newman,Carter,SS,Longwood University,LONG,730219264,Longwood,BBC,R,R,41,167,657,58.9%,1.4%,3.4%,24.8%,6.1%,5.4%,0.0%,0.0%,0.8%,60.3%,36.3%,31.0%
127,1111880448,W. Bermudez,Will Bermudez,Bermudez,Will,2B,UC Irvine,UCI,3031,UC Irvine,BBC,S,R,57,271,1076,58.9%,2.7%,2.9%,13.8%,7.4%,13.3%,0.6%,0.6%,2.8%,61.6%,35.6%,21.7%
128,1162602752,A. Ainsworth,Addison Ainsworth,Ainsworth,Addison,CF,Army West Point,ARMY,4744,Army,BBC,L,R,49,233,879,58.9%,1.0%,4.0%,17.4%,6.6%,11.8%,0.0%,0.2%,0.7%,59.9%,36.1%,24.3%
129,1199283200,A. Rivas,Alexander Rivas,Rivas,Andrew,1B,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,52,215,847,58.9%,1.8%,1.3%,13.2%,8.0%,16.4%,0.3%,0.0%,29.0%,60.7%,38.0%,21.2%
130,1064606452,T. Anderson,TJ Anderson,Anderson,TJ,LF,The Citadel,CIT,730366720,The Citadel,BBC,L,R,56,230,838,58.8%,2.3%,1.3%,21.9%,4.0%,11.6%,0.1%,0.0%,6.7%,61.1%,37.6%,25.8%
131,1158452736,M. Miceli,Matt Miceli,Miceli,Matt,SS,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,52,200,716,58.8%,4.7%,2.3%,24.6%,5.3%,3.2%,0.0%,1.1%,34.2%,63.5%,34.2%,31.0%
132,1556323154,R. Caballero,Rocco Caballero,Caballero,Rocco,SS,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,51,230,796,58.8%,1.8%,3.4%,23.8%,6.3%,6.0%,0.0%,0.0%,7.7%,60.5%,36.1%,30.1%
133,1472559528,C. Ramirez,Chris Ramirez,Ramirez,Chris,SS,California Baptist University,CBU,5091,California Baptist,BBC,R,R,57,241,929,58.7%,3.3%,1.5%,17.4%,10.4%,8.2%,0.4%,0.0%,2.7%,62.1%,36.4%,27.8%
134,1645639936,W. Helms,Wesley Helms,Helms,Wesley,1B,UAB,UAB,730345984,UAB,BBC,R,R,46,192,742,58.7%,1.8%,6.2%,23.5%,3.7%,6.1%,0.0%,0.0%,0.4%,60.5%,33.3%,27.2%
135,1123951360,K. McIntosh,Kyler McIntosh,McIntosh,Kyler,TWP,Alabama State University,ALST,4765,Alabama State,BBC,R,R,58,253,768,58.7%,0.6%,0.8%,15.4%,16.6%,7.8%,0.0%,0.0%,35.0%,59.3%,39.9%,32.1%
136,1250738591,T. Mainolfi,Ty Mainolfi,Mainolfi,Ty,2B,University of Dayton,DAY,730194688,Dayton,BBC,L,L,55,221,799,58.7%,0.6%,1.3%,22.4%,8.6%,7.7%,0.6%,0.0%,20.3%,59.3%,39.4%,31.1%
137,1176352256,J. Lehman,Justin Lehman,Lehman,Justin,TWP,Army West Point,ARMY,4744,Army,BBC,L,R,50,164,558,58.7%,0.5%,4.0%,15.7%,9.5%,11.3%,0.0%,0.2%,2.0%,59.2%,36.7%,25.4%
138,1263498752,M. Wolbert,Mark Wolbert,Wolbert,Mark,CF,UC Davis,UCD,730153984,UC Davis,BBC,L,L,51,188,702,58.7%,4.0%,2.9%,13.3%,6.2%,13.5%,1.0%,0.3%,0.7%,62.7%,34.4%,19.9%
139,1042959841,T. Rover,Tommy Rover,Rover,Tommy,3B,Youngstown State University,YSU,730284544,Youngstown State,BBC,S,R,47,223,814,58.7%,0.0%,1.0%,9.8%,9.8%,20.7%,0.0%,0.0%,41.2%,58.7%,40.3%,19.6%
140,1275103488,A. Sengenberger,Aidan Sengenberger,Sengenberger,Aidan,C,Stonehill College,SC,730238464,Stonehill,BBC,R,R,46,184,639,58.7%,2.0%,0.8%,15.0%,11.8%,11.0%,0.8%,0.0%,60.3%,60.6%,38.6%,26.8%
141,1109512960,F. Bates,Finley Bates,Bates,Finley,SS,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,57,260,989,58.6%,1.7%,3.8%,18.7%,9.4%,7.8%,0.0%,0.0%,2.7%,60.3%,35.9%,28.1%
142,1213076480,M. Murphy,Mikey Murphy,Murphy,Mikey,LF,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,47,197,749,58.6%,1.5%,2.7%,28.7%,3.8%,4.7%,0.0%,0.0%,26.4%,60.1%,37.2%,32.5%
143,1342167002,N. Mascaro,Nick Mascaro,Mascaro,Nick,CF,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,L,R,56,247,996,58.6%,3.5%,2.8%,13.4%,7.2%,13.1%,0.9%,0.6%,10.5%,62.1%,35.1%,21.1%
144,1131318528,H. Moreno,Heladio Moreno,Moreno,Heladio,LF,Lamar University,LAM,730162432,Lamar,BBC,L,L,55,235,831,58.5%,6.7%,2.3%,14.8%,5.4%,11.8%,0.5%,0.0%,4.3%,65.2%,32.6%,20.3%
145,1143092736,N. Monile,Nick Monile,Monile,Nick,CF,University of North Florida,UNF,730296832,North Florida,BBC,L,L,56,260,1048,58.5%,5.7%,2.9%,12.1%,6.2%,13.8%,0.7%,0.0%,21.9%,64.2%,32.8%,18.3%
146,1097562368,B. Nigh,Brandon Nigh,Nigh,Brandon,SS,Oakland University,OAK,5386,Oakland,BBC,R,R,60,283,1071,58.5%,0.6%,3.4%,23.3%,7.6%,6.5%,0.1%,0.0%,16.6%,59.0%,37.6%,31.0%
147,1304709376,C. Sanderson,Case Sanderson,Sanderson,Case,1B,University of Nebraska,NEB,4865,Nebraska,BBC,L,L,56,238,955,58.4%,1.9%,3.0%,15.7%,7.7%,12.7%,0.5%,0.1%,0.7%,60.3%,36.7%,23.5%
148,1187057152,C. Kashimoto,Cody Kashimoto,Kashimoto,Cody,2B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,S,R,62,276,1097,58.4%,4.2%,1.5%,11.9%,5.4%,17.9%,0.5%,0.1%,0.0%,62.6%,35.8%,17.4%
149,1200305408,R. Farber,Ryne Farber,Farber,Ryne,SS,Texas State University,TXST,5420,Texas State,BBC,S,R,58,269,1082,58.4%,4.0%,2.8%,17.9%,5.0%,11.1%,0.8%,0.0%,1.8%,62.5%,34.7%,22.9%
150,1198474496,M. Hartman,Max Hartman,Hartman,Max,LF,Washington State University,WSU,4505,Washington State,BBC,L,R,41,194,672,58.4%,0.6%,5.1%,14.6%,8.9%,11.9%,0.5%,0.0%,6.1%,59.0%,35.9%,23.5%
151,1310307840,M. Elko,Michael Elko,Elko,Michael,2B,University of Richmond,RICH,730171904,Richmond,BBC,L,R,45,186,687,58.4%,6.0%,3.1%,15.9%,4.0%,11.9%,0.5%,0.3%,4.8%,64.4%,32.6%,20.2%
152,1085384704,D. Patrizi,Dom Patrizi,Patrizi,Dom,SS,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,49,206,819,58.4%,1.1%,3.9%,23.5%,4.5%,8.5%,0.0%,0.0%,12.8%,59.5%,36.6%,28.0%
153,1249665393,T. Williams,Thomas Williams,Williams,Thomas,2B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,S,R,54,252,1012,58.4%,3.1%,1.2%,14.0%,6.4%,16.0%,1.1%,0.0%,6.7%,61.4%,37.4%,20.3%
154,1311218432,B. Jones,Brendan Jones,Jones,Brendan,2B,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,49,200,884,58.4%,3.6%,1.8%,15.2%,9.7%,11.3%,0.0%,0.0%,6.0%,62.0%,36.2%,24.9%
155,1325212928,B. Thompson,Bryce Thompson,Thompson,Bryce,RF,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,46,166,548,58.3%,0.0%,2.8%,28.7%,4.6%,5.6%,0.0%,0.0%,80.3%,58.3%,38.9%,33.3%
156,1762898844,B. Torres,Boston Torres,Torres,Boston,LF,Virginia Military Institute,VMI,730173440,VMI,BBC,L,L,53,255,1060,58.2%,1.3%,1.6%,18.6%,3.7%,16.0%,0.0%,0.4%,15.9%,59.6%,38.8%,22.8%
157,1182004481,B. Nace,Breckin Nace,Nace,Breckin,TWP,Radford University,RAD,730267392,Radford,BBC,L,L,51,232,902,58.2%,1.3%,2.5%,16.9%,8.0%,12.9%,0.1%,0.0%,3.1%,59.5%,38.0%,24.9%
158,1427294375,J. Smith,Jonathan Smith,Smith,Jonathan,LF,San Diego State University,SDSU,730218496,San Diego State,BBC,S,R,54,225,853,58.2%,1.8%,2.1%,11.7%,8.0%,17.8%,0.4%,0.0%,4.6%,60.1%,37.8%,19.7%
159,1965008067,A. Mascuilli,Anthony Mascuilli,Mascuilli,Anthony,3B,UMBC,UMBC,730210304,UMBC,BBC,R,R,39,176,677,58.2%,1.6%,4.1%,26.3%,2.9%,6.0%,0.8%,0.0%,28.2%,59.9%,36.0%,29.2%
160,1145239296,R. Lipoma,Reese Lipoma,Lipoma,Reese,CF,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,55,275,1076,58.2%,4.0%,1.9%,19.3%,9.4%,6.8%,0.4%,0.0%,13.4%,62.1%,35.9%,28.8%
161,1912513890,D. Wouters,Dyrenson Wouters,Wouters,Dyrenson,SS,University of Dayton,DAY,730194688,Dayton,BBC,R,R,46,188,664,58.2%,0.6%,2.4%,24.8%,7.3%,5.3%,1.6%,0.0%,23.2%,58.7%,38.9%,32.0%
162,1176552192,M. Wessels,Matt Wessels,Wessels,Matt,RF,Iona College,IONA,730242048,Iona,BBC,R,R,51,226,723,58.1%,9.4%,0.0%,25.6%,3.4%,1.7%,1.7%,0.0%,83.8%,67.5%,32.5%,29.1%
163,1212114688,C. Schebler,Charlie Schebler,Schebler,Charlie,2B,University of Akron,AKR,540536064,Akron,BBC,L,R,42,179,702,58.1%,3.5%,3.8%,18.8%,3.8%,11.8%,0.0%,0.0%,18.1%,61.6%,34.6%,22.8%
164,1126287616,K. Walker,Khalil Walker,Walker,Khalil,CF,University of New Mexico,UNM,730153472,New Mexico,BBC,L,L,53,227,795,58.1%,3.5%,3.9%,20.7%,5.6%,8.0%,0.3%,0.0%,5.8%,61.5%,34.6%,26.3%
165,1239203072,K. Hall,Kevin Hall Jr.,Hall,Kevin,CF,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,51,211,740,58.1%,6.8%,2.3%,15.2%,8.4%,8.4%,1.0%,0.0%,58.1%,64.8%,32.9%,23.5%
166,1310320640,B. Blaser,Bryce Blaser,Blaser,Bryce,LF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,L,R,53,228,820,58.0%,3.3%,0.9%,23.4%,4.1%,10.2%,0.1%,0.0%,7.1%,61.3%,37.8%,27.4%
167,1188694272,G. Antillon,Gunner Antillon,Antillon,Gunner,SS,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,49,232,805,58.0%,2.4%,3.3%,20.0%,6.4%,8.8%,1.0%,0.0%,48.0%,60.4%,36.3%,26.5%
168,1182010880,R. Gerety,Ryan Gerety,Gerety,Ryan,RF,Northeastern University,NE,343,Northeastern,BBC,L,L,59,268,1006,58.0%,3.2%,4.1%,16.3%,6.3%,11.8%,0.0%,0.2%,20.1%,61.2%,34.7%,22.9%
169,1243623168,A. Ungar,Alex Ungar,Ungar,Alex,RF,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,48,229,795,57.9%,5.6%,6.0%,23.4%,2.4%,4.8%,0.0%,0.0%,68.2%,63.5%,30.6%,25.8%
170,1075203328,M. Robertson,Michael Robertson,Robertson,Michael,CF,Liberty University,LIB,730156288,Liberty,BBC,L,R,56,217,879,57.9%,5.8%,3.4%,9.3%,7.6%,15.6%,0.4%,0.0%,4.3%,63.7%,32.8%,16.9%
171,1236950016,H. Mitchell,Henry Mitchell,Mitchell,Henry,SS,U.S. Naval Academy,NAVY,508,Navy,BBC,S,R,50,187,697,57.9%,0.9%,1.5%,19.8%,4.4%,14.2%,1.2%,0.0%,6.3%,58.8%,39.7%,24.2%
172,1060614616,J. Dobie,Jayce Dobie,Dobie,Jayce,TWP,University of Nevada,NEV,4784,Nevada,BBC,R,R,55,220,864,57.8%,3.2%,2.7%,20.6%,9.5%,6.2%,0.0%,0.0%,1.5%,61.0%,36.3%,30.1%
173,1753456456,J. Swift,Julian Swift,Swift,Julian,3B,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,44,196,520,57.8%,4.0%,0.0%,24.2%,3.8%,10.2%,0.0%,0.0%,28.5%,61.8%,38.2%,28.0%
174,1292550400,T. Moore,Tristan Moore,Moore,Tristan,LF,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,53,231,823,57.8%,0.8%,0.7%,18.6%,10.7%,10.3%,1.0%,0.0%,14.0%,58.6%,40.7%,29.4%
175,1779361511,K. Collins,Kain Collins,Collins,Kain,LF,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,R,49,231,931,57.7%,4.7%,1.9%,16.1%,5.3%,13.8%,0.4%,0.0%,2.1%,62.5%,35.7%,21.4%
176,1152961280,E. Talt,Easton Talt,Talt,Easton,RF,Oregon State University,ORST,3111,Oregon State,BBC,L,R,64,284,1240,57.7%,3.6%,2.7%,17.4%,3.3%,14.6%,0.6%,0.1%,3.9%,61.3%,36.0%,20.8%
177,1382478906,G. Petrucelli,Gabe Petrucelli,Petrucelli,Gabe,2B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,54,242,908,57.7%,4.4%,4.0%,16.0%,6.5%,10.8%,0.6%,0.0%,47.1%,62.1%,34.0%,22.5%
178,1436319825,L. Nunes,Landon Nunes,Nunes,Landon,RF,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,R,48,186,731,57.7%,2.0%,0.2%,11.7%,11.5%,16.8%,0.0%,0.0%,25.3%,59.7%,40.1%,23.3%
178,1020700976,O. Siegert,Owen Siegert,Siegert,Owen,TWP,South Dakota State University,SDST,730323200,South Dakota State,BBC,L,L,47,194,695,57.7%,7.2%,0.0%,12.5%,7.7%,13.5%,1.2%,0.2%,40.1%,64.9%,35.1%,20.4%
180,1304808960,T. Griffith,Tanner Griffith,Griffith,Tanner,CF,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,R,61,254,935,57.7%,3.3%,3.5%,15.9%,6.4%,12.7%,0.4%,0.0%,0.4%,61.0%,35.4%,22.3%
181,1096596224,Z. Skinner,Zak Skinner,Skinner,Zak,3B,Lamar University,LAM,730162432,Lamar,BBC,R,R,57,263,999,57.7%,6.6%,2.9%,20.8%,5.5%,6.3%,0.2%,0.0%,6.1%,64.3%,32.8%,26.3%
182,1136254858,D. Lee,Darryl Lee,Lee,Darryl,CF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,57,255,955,57.7%,5.4%,1.2%,19.8%,5.2%,8.9%,1.2%,0.6%,48.1%,63.1%,35.7%,25.6%
183,1281944576,J. Green,Jackson Green,Green,Jackson,LF,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,52,208,772,57.6%,3.1%,3.3%,21.5%,5.5%,8.6%,0.2%,0.0%,41.6%,60.8%,35.9%,27.1%
184,1264122624,L. Myers,Luke Myers,Myers,Luke,2B,University at Albany,ALBY,730280448,Albany,BBC,R,R,52,223,834,57.6%,4.7%,5.4%,21.9%,3.8%,5.9%,0.2%,0.5%,49.0%,62.4%,32.2%,26.1%
185,1153058048,J. Pierantoni,Jeff Pierantoni,Pierantoni,Jeff,SS,Yale University,YALE,730334464,Yale,BBC,L,R,45,188,648,57.6%,4.4%,2.8%,17.3%,5.1%,12.3%,0.5%,0.0%,11.9%,62.0%,35.2%,22.4%
186,1205967539,M. Tufts,Mac Tufts,Tufts,Mac,SS,Longwood University,LONG,730219264,Longwood,BBC,R,R,48,196,761,57.6%,2.3%,2.2%,21.3%,9.1%,6.9%,0.3%,0.3%,3.3%,59.9%,37.9%,30.7%
187,1174744576,B. Forrester,Brandon Forrester,Forrester,Brandon,3B,New Mexico State University,NMSU,730302720,New Mexico State,BBC,S,R,53,255,969,57.6%,3.4%,4.2%,14.8%,3.7%,15.5%,0.8%,0.0%,1.5%,61.0%,34.8%,18.5%
188,1310321408,N. Sorensen,Noah Sorensen,Sorensen,Noah,2B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,57,259,863,57.6%,2.3%,2.5%,21.2%,8.1%,8.4%,0.0%,0.0%,29.5%,59.9%,37.7%,29.3%
189,1073850880,J. Perez,Jose Perez,Perez,Jose,SS,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,S,R,48,186,684,57.6%,2.8%,1.3%,20.3%,2.6%,14.5%,0.9%,0.0%,0.4%,60.4%,38.3%,22.9%
190,1449562702,A. Melendez,Axel Melendez,Melendez,Axel,LF,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,R,51,195,729,57.6%,5.7%,3.9%,16.4%,3.7%,12.5%,0.3%,0.0%,1.1%,63.2%,32.9%,20.1%
191,1314586953,S. McCulloch,Sean McCulloch,McCulloch,Sean,LF,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,R,55,275,1070,57.5%,4.6%,4.0%,14.8%,4.0%,14.5%,0.0%,0.5%,65.2%,62.1%,33.9%,19.4%
192,1081123840,Z. Kovalchik,Zack Kovalchik,Kovalchik,Zack,CF,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,51,220,781,57.4%,3.0%,3.4%,20.9%,6.4%,8.8%,0.0%,0.0%,62.1%,60.5%,36.1%,27.4%
193,1322859776,K. Jordan,Kazuya Jordan,Jordan,Kazuya,2B,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,53,224,808,57.4%,1.6%,2.2%,26.3%,3.3%,8.6%,0.0%,0.6%,14.9%,59.0%,38.8%,30.2%
194,1297438720,E. Lopez,Eli Lopez,Lopez,Eli,2B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,52,244,966,57.4%,3.0%,4.2%,17.5%,8.1%,8.6%,0.2%,1.1%,2.8%,60.4%,35.5%,26.6%
195,1129848320,B. Ronken,Bryce Ronken,Ronken,Bryce,RF,South Dakota State University,SDST,730323200,South Dakota State,BBC,L,R,43,194,743,57.4%,1.9%,0.9%,16.5%,9.9%,12.6%,0.2%,0.6%,37.1%,59.3%,39.8%,27.0%
196,1310396928,B. Truitt,Brantley Truitt,Truitt,Brantley,2B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,R,43,182,711,57.3%,2.8%,0.7%,24.3%,4.8%,10.1%,0.0%,0.0%,0.8%,60.1%,39.1%,29.1%
197,1131971840,R. LeClair,Ryan LeClair,LeClair,Ryan,2B,Stonehill College,SC,730238464,Stonehill,BBC,R,R,52,213,699,57.3%,1.8%,0.6%,22.3%,12.2%,5.3%,0.6%,0.0%,51.8%,59.1%,40.4%,34.4%
198,1247518976,T. Tracy,Tab Tracy,Tracy,Tab,CF,Lamar University,LAM,730162432,Lamar,BBC,L,L,53,233,871,57.3%,6.8%,1.5%,16.5%,5.1%,12.2%,0.5%,0.2%,5.2%,64.0%,34.5%,21.8%
199,1080823296,K. McDaniel,Kyle McDaniel,McDaniel,Kyle,2B,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,R,55,250,956,57.3%,3.7%,1.9%,15.1%,9.4%,12.2%,0.4%,0.0%,17.8%,60.9%,37.2%,24.6%
200,1192592640,C. Harthan,Cam Harthan,Harthan,Cam,CF,Marshall University,MRSH,730333696,Marshall,BBC,L,L,56,242,753,57.2%,4.2%,5.9%,19.4%,2.3%,10.1%,0.7%,0.0%,8.4%,61.4%,32.6%,21.7%
201,1141432832,M. Brown,Michael Brown,Brown,Michael,SS,Hofstra University,HOF,730245120,Hofstra,BBC,S,R,53,220,842,57.2%,3.9%,4.3%,17.0%,3.9%,13.2%,0.4%,0.0%,15.3%,61.2%,34.5%,20.9%
202,1126689024,N. Gamez,Nathan Gamez,Gamez,Nathan,3B,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,R,48,183,433,57.1%,0.0%,4.1%,16.3%,10.2%,12.2%,0.0%,0.0%,77.4%,57.1%,38.8%,26.5%
203,1310816256,T. Oster,T.J. Oster,Oster,T.J.,2B,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,54,209,810,57.1%,1.2%,1.6%,22.5%,8.3%,9.1%,0.0%,0.1%,17.2%,58.3%,40.1%,31.0%
204,1297676033,C. Hain,Carter Hain,Hain,Carter,1B,Oakland University,OAK,5386,Oakland,BBC,R,R,60,262,1032,57.1%,1.2%,4.1%,22.6%,7.9%,7.0%,0.1%,0.0%,17.0%,58.2%,37.7%,30.6%
205,1202679552,E. Funkhouser,Evan Funkhouser,Funkhouser,Evan,SS,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,59,227,844,57.1%,2.9%,1.5%,22.7%,7.1%,7.9%,0.5%,0.3%,26.9%,60.0%,38.6%,30.1%
206,1263420928,L. Brewster,Lane Brewster,Brewster,Lane,CF,Tarleton State University,TAR,730236416,Tarleton State,BBC,L,L,53,202,781,57.0%,0.2%,1.0%,18.2%,7.4%,15.4%,0.7%,0.2%,22.5%,57.2%,41.8%,25.8%
207,1257493248,J. Castagnola,James Castagnola,Castagnola,James,1B,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,49,199,782,57.0%,1.6%,4.0%,21.4%,8.3%,7.5%,0.3%,0.0%,3.1%,58.6%,37.5%,29.7%
208,1875765945,N. Toole,Noah Toole,Toole,Noah,2B,Radford University,RAD,730267392,Radford,BBC,S,R,53,208,785,57.0%,2.0%,1.9%,15.7%,4.9%,18.1%,0.4%,0.0%,5.9%,59.0%,39.1%,20.6%
209,1360727352,J. Williams,Josh Williams,Williams,Josh,RF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,R,56,242,924,56.9%,3.0%,2.5%,11.5%,13.0%,13.0%,0.0%,0.0%,23.6%,59.9%,37.5%,24.5%
210,1995792238,C. Moran,CJ Moran,Moran,CJ,1B,San Diego State University,SDSU,730218496,San Diego State,BBC,L,R,44,192,712,56.9%,2.4%,2.6%,12.0%,9.2%,15.0%,0.7%,1.2%,2.5%,59.4%,38.0%,22.3%
