Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,1B%,x1B%,x1B%Df,2B%,x2B%,x2B%Df,3B%,x3B%,x3B%Df,HR%,xHR%,xHR%Df,XBH%,xXBH%,xXBH%Df
83,1136410112,Z. Toglia,Zach Toglia,Toglia,Zach,3B,University of Portland,PORT,730360320,Portland,BBC,R,R,51,228,14.0%,14.7%,-0.6%,2.6%,5.1%,-2.5%,0.4%,0.5%,-0.1%,4.8%,6.4%,-1.5%,7.9%,9.8%,-1.9%
84,1287473664,R. Daniels,Ryan Daniels,Daniels,Ryan,2B,University of Connecticut,CONN,5486,Connecticut,BBC,L,R,54,252,14.7%,13.3%,1.4%,6.0%,5.6%,0.3%,1.6%,0.9%,0.6%,7.1%,6.4%,0.8%,14.7%,10.4%,4.2%
85,1122150400,K. Fossum,Kyle Fossum,Fossum,Kyle,RF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,57,274,15.7%,12.9%,2.8%,6.6%,6.3%,0.3%,0.0%,0.5%,-0.5%,8.4%,6.4%,2.0%,15.0%,10.5%,4.4%
86,1092663040,C. Bergman,Carter Bergman,Bergman,Carter,C,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,48,194,10.8%,10.8%,0.1%,6.2%,5.1%,1.1%,0.0%,0.5%,-0.5%,5.7%,6.4%,-0.7%,11.9%,10.0%,1.8%
87,1092672512,J. Jones,Jared Jones,Jones,Jared,1B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,68,326,16.3%,12.9%,3.4%,4.6%,5.7%,-1.1%,0.0%,0.6%,-0.6%,6.7%,6.3%,0.4%,11.3%,10.8%,0.5%
88,1190621440,N. Bach,Nate Bach,Bach,Nate,1B,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,57,261,11.9%,7.3%,4.6%,4.2%,4.7%,-0.5%,0.8%,0.5%,0.2%,3.4%,6.3%,-2.9%,8.4%,9.1%,-0.7%
89,1278316989,J. Sorenson,Jaxon Sorenson,Sorenson,Jaxon,1B,Liberty University,LIB,730156288,Liberty,BBC,L,R,56,254,11.0%,10.8%,0.2%,3.1%,3.7%,-0.5%,0.0%,0.6%,-0.6%,5.5%,6.3%,-0.8%,8.7%,8.7%,-0.1%
90,1281951232,S. Dardar,Seth Dardar,Dardar,Seth,1B,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,50,219,13.2%,12.7%,0.5%,8.2%,6.1%,2.1%,0.0%,0.8%,-0.8%,5.9%,6.3%,-0.4%,14.2%,11.1%,3.0%
91,1251236096,N. Shuhet,Nick Shuhet,Shuhet,Nick,C,Rider University,RID,730174976,Rider,BBC,R,R,51,226,18.1%,14.9%,3.2%,3.5%,3.6%,-0.1%,0.4%,0.6%,-0.2%,3.5%,6.3%,-2.8%,7.5%,8.7%,-1.2%
92,1162511360,C. Krauss,Chayton Krauss,Krauss,Chayton,1B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,58,263,15.6%,16.7%,-1.1%,7.2%,5.8%,1.4%,0.0%,0.7%,-0.7%,5.7%,6.3%,-0.6%,12.9%,10.9%,2.0%
93,1292067584,B. Donay,Brody Donay,Donay,Brody,C,University of Florida,FLA,730168320,Florida,BBC,R,R,57,238,12.6%,10.0%,2.6%,4.2%,4.7%,-0.5%,0.8%,0.5%,0.3%,7.6%,6.3%,1.3%,12.6%,9.6%,3.0%
94,1486962578,S. Meth,Sean Meth,Meth,Sean,1B,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,49,221,13.1%,14.1%,-1.0%,4.1%,6.3%,-2.3%,0.5%,0.9%,-0.4%,1.8%,6.3%,-4.5%,6.3%,11.4%,-5.1%
95,1273211648,E. Lizama,Ethan Lizama,Lizama,Ethan,RF,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,L,60,265,15.1%,15.7%,-0.6%,6.8%,5.4%,1.4%,1.5%,0.8%,0.7%,5.7%,6.3%,-0.6%,14.0%,10.7%,3.2%
96,1310847488,E. Appelwick,Evan Appelwick,Appelwick,Evan,1B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,58,276,13.4%,13.1%,0.3%,3.6%,5.6%,-2.0%,0.4%,0.4%,-0.0%,7.6%,6.2%,1.4%,11.6%,9.5%,2.1%
97,1206686464,C. Torres,Cooper Torres,Torres,Cooper,2B,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,58,268,15.7%,15.2%,0.5%,5.6%,5.8%,-0.2%,0.7%,0.6%,0.2%,8.6%,6.2%,2.3%,14.9%,10.6%,4.3%
98,1500574460,B. Ballinger,Brady Ballinger,Ballinger,Brady,1B,University of Kansas,KU,730360064,Kansas,BBC,L,L,58,289,14.2%,12.8%,1.4%,7.3%,5.7%,1.6%,0.3%,0.8%,-0.4%,5.5%,6.2%,-0.7%,13.1%,9.8%,3.3%
99,1294956544,K. Dickerson,Korbyn Dickerson,Dickerson,Korbyn,CF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,56,271,14.8%,14.1%,0.7%,5.2%,5.1%,<0.1%,1.1%,0.9%,0.3%,7.0%,6.2%,0.8%,13.3%,10.9%,2.4%
100,1144614912,J. Morris,Judah Morris,Morris,Judah,1B,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,56,262,9.2%,10.0%,-0.9%,6.1%,5.9%,0.2%,0.0%,0.4%,-0.4%,7.3%,6.2%,1.1%,13.4%,9.5%,3.9%
101,1204041728,S. Alford,Slate Alford,Alford,Slate,3B,University of Georgia,UGA,226,Georgia,BBC,R,R,60,293,14.7%,15.6%,-1.0%,5.5%,5.0%,0.5%,0.7%,0.4%,0.3%,6.5%,6.2%,0.3%,12.6%,9.6%,3.1%
102,1093162496,C. Borba,Casey Borba,Borba,Casey,3B,University of Texas,TEX,245,Texas,BBC,R,R,51,200,11.0%,12.3%,-1.3%,5.0%,4.5%,0.5%,0.5%,0.5%,<0.1%,6.0%,6.1%,-0.1%,11.5%,9.0%,2.5%
103,1042959841,T. Rover,Tommy Rover,Rover,Tommy,3B,Youngstown State University,YSU,730284544,Youngstown State,BBC,S,R,47,223,16.1%,16.0%,0.1%,3.1%,3.9%,-0.8%,0.9%,1.1%,-0.2%,5.4%,6.1%,-0.8%,9.4%,8.7%,0.7%
104,1286782976,W. Hodo,Will Hodo,Hodo,Will,1B,University of Alabama,ALA,730206976,Alabama,BBC,L,R,59,259,12.0%,12.5%,-0.6%,3.5%,3.9%,-0.4%,1.2%,0.6%,0.5%,5.8%,6.1%,-0.3%,10.4%,8.4%,2.0%
105,1782180961,B. OBrien,Brady OBrien,OBrien,Brady,3B,University of Richmond,RICH,730171904,Richmond,BBC,R,R,50,230,14.3%,16.6%,-2.2%,8.3%,6.5%,1.8%,0.9%,0.9%,-0.0%,8.7%,6.1%,2.6%,17.8%,11.9%,5.9%
106,1110077952,W. Zapp,Walker Zapp,Zapp,Walker,C,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,51,231,14.7%,15.8%,-1.1%,7.8%,5.1%,2.7%,2.2%,0.6%,1.6%,3.0%,6.1%,-3.1%,13.0%,10.0%,2.9%
107,1255817728,A. Lazits,Anton Lazits,Lazits,Anton,RF,Columbia University,CLMB,730319104,Columbia,BBC,R,R,48,230,10.0%,10.3%,-0.3%,6.5%,6.9%,-0.4%,0.9%,0.5%,0.4%,6.1%,6.1%,-0.0%,13.5%,11.0%,2.5%
108,1263439360,R. Burnett,Robbie Burnett,Burnett,Robbie,RF,University of Georgia,UGA,226,Georgia,BBC,L,R,56,256,10.2%,11.0%,-0.9%,4.7%,4.3%,0.4%,0.4%,0.6%,-0.3%,7.8%,6.1%,1.7%,12.9%,8.3%,4.6%
109,1237790208,J. Schroeder,John Schroeder,Schroeder,John,LF,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,57,249,14.9%,14.3%,0.6%,2.4%,4.1%,-1.7%,0.0%,0.6%,-0.6%,6.8%,6.1%,0.7%,9.2%,9.5%,-0.3%
110,1299973888,J. Casey,Jake Casey,Casey,Jake,RF,Kent State University,KENT,730315008,Kent State,BBC,L,R,56,269,12.3%,10.5%,1.7%,7.4%,5.0%,2.4%,1.5%,0.8%,0.7%,6.3%,6.1%,0.2%,15.2%,9.2%,6.0%
111,1109527552,N. Monistere,Nick Monistere,Monistere,Nick,2B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,63,300,16.3%,14.9%,1.5%,4.0%,5.0%,-1.0%,0.3%,0.5%,-0.2%,7.0%,6.1%,0.9%,11.3%,9.9%,1.5%
112,1866053969,H. Jatczak,Hayden Jatczak,Jatczak,Hayden,3B,Kent State University,KENT,730315008,Kent State,BBC,R,R,56,269,11.9%,14.0%,-2.1%,10.4%,5.8%,4.6%,1.5%,0.6%,0.9%,5.9%,6.0%,-0.1%,17.8%,9.9%,8.0%
113,1300448256,B. Miller,Ben Miller,Miller,Ben,3B,Duke University,DUKE,730336256,Duke,BBC,R,R,61,293,14.7%,12.0%,2.7%,4.4%,5.2%,-0.7%,0.0%,0.6%,-0.6%,7.2%,6.0%,1.1%,11.6%,9.8%,1.8%
114,1181521152,T. Holder,Taylor Holder,Holder,Taylor,LF,University of Nevada,NEV,4784,Nevada,BBC,R,R,53,234,14.1%,13.5%,0.6%,4.3%,4.6%,-0.3%,0.9%,0.6%,0.3%,4.3%,6.0%,-1.7%,9.4%,9.3%,0.1%
115,1152891904,M. Ilgenfritz,Matt Ilgenfritz,Ilgenfritz,Matt,3B,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,46,168,13.1%,11.6%,1.5%,5.4%,6.3%,-1.0%,0.0%,0.5%,-0.5%,4.8%,6.0%,-1.3%,10.1%,11.7%,-1.6%
116,1088451584,A. DePino,Anthony DePino,DePino,Anthony,3B,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,58,299,12.4%,14.0%,-1.7%,7.0%,6.9%,0.1%,0.7%,0.5%,0.1%,6.7%,6.0%,0.7%,14.4%,10.2%,4.2%
117,1348018397,J. Hauge,Jackson Hauge,Hauge,Jackson,RF,University of Kansas,KU,730360064,Kansas,BBC,R,R,59,278,13.3%,14.0%,-0.7%,4.7%,5.4%,-0.7%,0.0%,0.6%,-0.6%,7.2%,6.0%,1.2%,11.9%,10.2%,1.6%
118,1235305472,M. Williams,Max Williams,Williams,Max,CF,Florida State University,FSU,101,Florida State,BBC,L,L,57,261,17.6%,15.1%,2.5%,3.4%,5.6%,-2.1%,0.0%,0.8%,-0.8%,7.3%,6.0%,1.3%,10.7%,11.0%,-0.3%
119,1196790784,G. Gallaher,Gavin Gallaher,Gallaher,Gavin,3B,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,61,281,16.4%,16.1%,0.2%,4.6%,4.6%,-0.0%,0.4%,0.7%,-0.3%,6.0%,6.0%,<0.1%,11.0%,9.6%,1.5%
120,1330771712,R. Cholowsky,Roch Cholowsky,Cholowsky,Roch,SS,UCLA,UCLA,5048,UCLA,BBC,R,R,66,324,14.2%,14.8%,-0.6%,5.9%,6.8%,-1.0%,0.3%,0.6%,-0.3%,7.1%,6.0%,1.1%,13.3%,10.5%,2.8%
121,1227161344,M. Gray,Murf Gray,Gray,Murf,3B,Fresno State,FRES,730384384,Fresno State,BBC,R,R,60,279,13.6%,14.2%,-0.6%,7.9%,7.4%,0.5%,0.0%,0.5%,-0.5%,6.5%,6.0%,0.5%,14.3%,12.0%,2.3%
122,1174874880,J. Tiroly,Joe Tiroly,Tiroly,Joe,2B,Rider University,RID,730174976,Rider,BBC,R,R,51,235,15.7%,11.1%,4.6%,6.8%,7.9%,-1.1%,0.9%,0.5%,0.3%,7.2%,6.0%,1.3%,14.9%,12.1%,2.8%
123,1088072448,J. Hogart,Jonathan Hogart,Hogart,Jonathan,CF,Murray State University,MURR,730188032,Murray State,BBC,R,R,61,312,12.5%,12.8%,-0.3%,8.3%,5.7%,2.7%,0.3%,0.6%,-0.3%,7.1%,6.0%,1.1%,15.7%,10.2%,5.5%
124,1176069376,R. Villeneuve,Robin Villeneuve,Villeneuve,Robin,1B,Texas Tech University,TTU,2350,Texas Tech,BBC,R,L,52,226,16.8%,16.7%,0.1%,8.0%,4.7%,3.2%,0.4%,0.6%,-0.2%,5.3%,6.0%,-0.7%,13.7%,9.5%,4.3%
125,1332973312,A. Agresti,Adam Agresti,Agresti,Adam,C,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,40,178,6.7%,7.6%,-0.9%,5.1%,4.4%,0.6%,0.0%,0.5%,-0.5%,5.1%,6.0%,-0.9%,10.1%,8.7%,1.4%
126,1311954432,W. Aloy,Wehiwa Aloy,Aloy,Wehiwa,SS,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,65,311,16.4%,15.5%,0.9%,6.1%,5.4%,0.7%,0.6%,0.6%,0.1%,6.8%,6.0%,0.8%,13.5%,10.2%,3.3%
127,1153211136,T. Liolios,Trent Liolios,Liolios,Trent,1B,Northwestern University,NW,730247680,Northwestern,BBC,L,R,51,194,8.8%,9.7%,-1.0%,5.2%,4.5%,0.7%,0.5%,0.7%,-0.2%,8.2%,5.9%,2.3%,13.9%,9.6%,4.3%
128,1310395648,M. Niu,Maika Niu,Niu,Maika,SS,Marshall University,MRSH,730333696,Marshall,BBC,R,R,58,271,12.2%,13.0%,-0.9%,5.2%,5.7%,-0.5%,1.8%,0.6%,1.2%,5.5%,5.9%,-0.4%,12.5%,11.0%,1.6%
129,1294963456,L. Heyman,Luke Heyman,Heyman,Luke,C,University of Florida,FLA,730168320,Florida,BBC,R,R,49,204,15.2%,14.4%,0.8%,3.4%,6.6%,-3.1%,0.5%,0.5%,<0.1%,6.4%,5.9%,0.4%,10.3%,11.0%,-0.7%
130,1162550784,M. Strong,Mason Strong,Strong,Mason,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,58,273,19.8%,17.9%,1.9%,7.0%,5.9%,1.1%,1.1%,0.6%,0.5%,4.0%,5.9%,-1.9%,12.1%,10.8%,1.3%
131,1238196480,T. Curless,Tristan Curless,Curless,Tristan,TWP,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,L,50,203,11.8%,13.4%,-1.6%,6.4%,4.9%,1.5%,1.0%,0.8%,0.2%,4.9%,5.9%,-1.0%,12.3%,10.0%,2.3%
132,1310333184,J. Krieg,Jacob Krieg,Krieg,Jacob,1B,Oregon State University,ORST,3111,Oregon State,BBC,R,R,59,242,10.7%,10.1%,0.7%,3.7%,4.7%,-1.0%,0.0%,0.4%,-0.4%,5.8%,5.9%,-0.1%,9.5%,9.1%,0.4%
133,1287367168,R. Weingartner,Ryan Weingartner,Weingartner,Ryan,SS,Penn State University,PSU,5326,Penn State,BBC,R,R,56,276,10.9%,9.9%,0.9%,5.1%,4.6%,0.4%,0.4%,0.7%,-0.3%,4.0%,5.9%,-1.9%,9.4%,9.1%,0.4%
134,1255842560,A. Birge,Alex Birge,Birge,Alex,C,University of California,CAL,730152448,California,BBC,L,R,44,178,5.1%,7.4%,-2.3%,5.1%,4.1%,0.9%,0.6%,0.7%,-0.1%,6.7%,5.9%,0.9%,12.4%,8.0%,4.3%
135,1314887424,D. Burress,Drew Burress,Burress,Drew,CF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,60,290,11.4%,12.2%,-0.8%,7.9%,6.2%,1.8%,0.3%,0.4%,-0.0%,6.6%,5.9%,0.7%,14.8%,9.7%,5.1%
136,1126571008,J. Rodriguez,Jorge Rodriguez,Rodriguez,Jorge,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,48,201,14.4%,9.3%,5.1%,7.0%,6.8%,0.2%,0.0%,0.5%,-0.5%,7.0%,5.8%,1.1%,13.9%,10.9%,3.1%
137,1138184704,R. Mendoza,Rey Mendoza,Mendoza,Rey,LF,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,L,49,227,12.3%,14.4%,-2.1%,8.8%,4.6%,4.2%,0.0%,0.7%,-0.7%,6.2%,5.8%,0.3%,15.0%,9.7%,5.2%
138,1888313665,K. Lodise,Kyle Lodise,Lodise,Kyle,SS,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,55,266,12.4%,14.9%,-2.4%,7.5%,7.2%,0.3%,1.1%,0.6%,0.5%,6.0%,5.8%,0.2%,14.7%,11.2%,3.4%
139,1836125891,J. Lee,Jacob Lee,Lee,Jacob,C,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,53,246,11.0%,10.4%,0.5%,5.3%,5.4%,-0.1%,0.8%,0.4%,0.4%,6.9%,5.8%,1.1%,13.0%,9.7%,3.3%
140,1162512640,T. Armstrong,Tyce Armstrong,Armstrong,Tyce,RF,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,54,246,16.7%,15.1%,1.6%,5.3%,5.2%,0.1%,0.0%,0.6%,-0.6%,4.9%,5.8%,-1.0%,10.2%,9.7%,0.4%
141,1238233344,J. Kemp,James Kemp,Kemp,James,1B,Iona College,IONA,730242048,Iona,BBC,R,R,52,249,18.9%,14.3%,4.6%,4.8%,8.9%,-4.1%,0.8%,0.7%,0.1%,4.8%,5.8%,-1.0%,10.4%,12.4%,-2.0%
142,1085399040,L. Meola,Lorenzo Meola,Meola,Lorenzo,SS,Stetson University,STET,730261504,Stetson,BBC,R,R,56,256,19.9%,17.0%,2.9%,3.5%,5.4%,-1.9%,0.8%,0.7%,0.1%,4.3%,5.8%,-1.5%,8.6%,10.3%,-1.8%
143,1162228480,B. Slanker,Ben Slanker,Slanker,Ben,RF,Ohio University,OHIO,730298368,Ohio,BBC,L,R,50,239,9.6%,10.9%,-1.3%,3.8%,4.6%,-0.8%,0.8%,0.7%,0.2%,8.8%,5.8%,3.0%,13.4%,8.8%,4.6%
144,1259961344,C. Meglio,Charlie Meglio,Meglio,Charlie,3B,Campbell University,CAMP,730187776,Campbell,BBC,R,R,56,238,10.9%,11.8%,-0.8%,6.7%,5.6%,1.1%,0.0%,0.6%,-0.6%,5.0%,5.8%,-0.8%,11.8%,10.8%,1.0%
145,1110710272,O. Petrich,Owen Petrich,Petrich,Owen,3B,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,52,243,16.5%,16.8%,-0.3%,4.1%,5.0%,-0.9%,0.0%,0.5%,-0.5%,6.2%,5.8%,0.4%,10.3%,9.8%,0.5%
146,1282331648,E. Putnam,Eli Putnam,Putnam,Eli,1B,Davidson College,DAV,730363136,Davidson,BBC,R,R,56,272,17.3%,16.6%,0.7%,6.6%,5.1%,1.5%,0.0%,0.4%,-0.4%,7.0%,5.8%,1.2%,13.6%,10.0%,3.6%
147,1982748681,H. Travis,Harrison Travis,Travis,Harrison,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,44,185,16.2%,12.7%,3.5%,5.4%,5.5%,-0.1%,0.0%,0.5%,-0.5%,5.9%,5.8%,0.2%,11.4%,10.5%,0.8%
148,1099808000,B. Molinaro,Bryce Molinaro,Molinaro,Bryce,3B,Penn State University,PSU,5326,Penn State,BBC,R,R,56,268,13.1%,12.1%,1.0%,3.0%,4.4%,-1.5%,1.1%,0.6%,0.5%,4.9%,5.7%,-0.9%,9.0%,9.1%,-0.1%
149,1310781952,K. Freeman,Kaleb Freeman,Freeman,Kaleb,2B,Georgia State University,GAST,730239744,Georgia State,BBC,S,R,56,276,9.8%,10.7%,-0.9%,10.1%,6.7%,3.5%,0.7%,0.8%,-0.1%,5.8%,5.7%,0.1%,16.7%,10.0%,6.6%
150,1162540800,T. Turner,Trent Turner,Turner,Trent,SS,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,58,275,16.7%,17.7%,-0.9%,5.1%,6.0%,-0.9%,0.7%,0.6%,0.1%,5.1%,5.7%,-0.6%,10.9%,10.6%,0.4%
151,1169252608,S. Kane,Sam Kane,Kane,Sam,CF,Seattle University,SEA,4504,Seattle,BBC,R,R,52,234,14.5%,13.5%,1.0%,3.8%,4.1%,-0.2%,0.4%,0.7%,-0.3%,5.6%,5.7%,-0.2%,9.8%,9.2%,0.6%
152,1841624466,N. Rippen,Nash Rippen,Rippen,Nash,LF,University of North Alabama,UNA,730266624,North Alabama,BBC,L,R,49,203,8.9%,8.9%,-0.1%,4.9%,1.7%,3.2%,0.5%,0.4%,0.1%,3.9%,5.7%,-1.8%,9.4%,6.5%,2.9%
153,1159606016,J. Neff,Jason Neff,Neff,Jason,C,Villanova University,VILL,730278400,Villanova,BBC,R,R,49,217,13.8%,13.6%,0.2%,4.6%,5.8%,-1.2%,0.5%,0.5%,-0.0%,6.9%,5.7%,1.2%,12.0%,10.0%,2.0%
154,1132728576,M. Graveline,Matthew Graveline,Graveline,Matthew,LF,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,50,229,14.4%,14.5%,-0.0%,4.4%,5.1%,-0.7%,0.9%,0.6%,0.2%,4.4%,5.7%,-1.3%,9.6%,9.7%,-0.1%
155,1506711324,C. Arroyo,Chris Arroyo,Arroyo,Chris,1B,University of Virginia,UVA,5415,Virginia,BBC,L,L,49,217,16.1%,16.3%,-0.1%,3.7%,4.7%,-1.0%,0.5%,0.7%,-0.3%,5.1%,5.7%,-0.6%,9.2%,9.7%,-0.5%
156,1338133248,C. Miller,Cody Miller,Miller,Cody,SS,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,58,285,15.8%,16.1%,-0.4%,5.3%,5.3%,-0.0%,0.0%,0.5%,-0.5%,6.3%,5.7%,0.6%,11.6%,9.5%,2.1%
157,1143051776,B. Boser,Bobby Boser,Boser,Bobby,3B,University of Florida,FLA,730168320,Florida,BBC,R,R,61,287,17.4%,15.8%,1.6%,4.2%,4.2%,<0.1%,0.0%,0.5%,-0.5%,6.3%,5.7%,0.6%,10.5%,8.6%,1.8%
158,1201246976,L. Molessa,Leewood Molessa,Molessa,Leewood,1B,UMBC,UMBC,730210304,UMBC,BBC,R,R,42,183,13.1%,12.5%,0.6%,4.4%,2.8%,1.6%,0.5%,0.6%,-0.0%,6.0%,5.7%,0.3%,10.9%,7.8%,3.2%
159,1251443200,A. Calarco,Alex Calarco,Calarco,Alex,C,University of Maryland-College Park,MD,730172928,Maryland,BBC,S,R,56,264,11.4%,10.5%,0.9%,4.2%,4.6%,-0.4%,0.0%,0.5%,-0.5%,7.2%,5.7%,1.5%,11.4%,8.5%,2.8%
160,1213817600,J. Bay,John Bay,Bay,John,CF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,59,294,12.6%,12.1%,0.5%,5.4%,5.4%,0.1%,1.7%,0.5%,1.2%,7.5%,5.7%,1.8%,14.6%,8.8%,5.8%
161,1750819940,M. Bell,Mikey Bell,Bell,Mikey,RF,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,53,235,18.7%,15.9%,2.8%,7.2%,6.7%,0.5%,0.4%,0.7%,-0.3%,4.7%,5.7%,-1.0%,12.3%,11.4%,1.0%
162,1077703168,H. Kaufman,Harrison Kaufman,Kaufman,Harrison,3B,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,38,164,11.0%,11.0%,-0.0%,6.1%,3.7%,2.4%,0.0%,0.6%,-0.6%,4.9%,5.7%,-0.8%,11.0%,7.6%,3.4%
163,1197179904,J. Eichelberger,Joseph Eichelberger,Eichelberger,Joseph,RF,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,50,224,18.8%,14.6%,4.2%,8.0%,4.9%,3.1%,0.0%,0.9%,-0.9%,1.3%,5.7%,-4.3%,9.4%,9.5%,-0.2%
164,1336206080,B. Szako,Brody Szako,Szako,Brody,RF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,R,42,191,9.4%,9.7%,-0.3%,4.2%,3.8%,0.4%,1.0%,0.7%,0.4%,7.9%,5.6%,2.2%,13.1%,8.1%,5.0%
165,1085401344,B. Birchmeier,Brady Birchmeier,Birchmeier,Brady,1B,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,38,182,16.5%,13.3%,3.2%,5.5%,9.3%,-3.8%,0.0%,0.7%,-0.7%,4.9%,5.6%,-0.7%,10.4%,13.3%,-2.9%
166,1616187675,T. Davis,Tague Davis,Davis,Tague,TWP,University of Louisville,LOU,5467,Louisville,BBC,L,L,64,264,13.3%,12.5%,0.8%,3.4%,3.9%,-0.5%,0.0%,0.6%,-0.6%,6.8%,5.6%,1.2%,10.2%,8.4%,1.8%
167,1092700416,L. Godsey,Landon Godsey,Godsey,Landon,1B,Belmont University,BEL,730190336,Belmont,BBC,R,R,60,263,12.9%,12.7%,0.2%,8.0%,5.9%,2.1%,1.1%,0.7%,0.5%,4.6%,5.6%,-1.0%,13.7%,10.4%,3.3%
168,1081438208,G. Ganun,Gavin Ganun,Ganun,Gavin,LF,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,49,212,11.8%,7.2%,4.5%,4.2%,3.2%,1.0%,0.5%,0.6%,-0.1%,3.3%,5.6%,-2.3%,8.0%,7.7%,0.4%
169,1263647744,J. Thorbahn,Jack Thorbahn,Thorbahn,Jack,1B,Stonehill College,SC,730238464,Stonehill,BBC,L,R,52,240,13.8%,10.1%,3.6%,5.0%,3.4%,1.6%,0.0%,0.5%,-0.5%,6.7%,5.6%,1.1%,11.7%,7.4%,4.3%
170,1598424062,C. Dierdorf,Carter Dierdorf,Dierdorf,Carter,1B,University of West Georgia,UOWG,730308864,West Georgia,BBC,L,L,51,227,10.1%,13.2%,-3.0%,7.0%,6.3%,0.8%,0.4%,1.4%,-0.9%,5.7%,5.6%,0.1%,13.2%,11.0%,2.2%
171,1195475968,M. Malony,Maddox Malony,Malony,Maddox,SS,University of Oregon,ORE,4807,Oregon,BBC,R,R,56,246,16.7%,13.5%,3.1%,3.3%,4.7%,-1.4%,0.0%,0.5%,-0.5%,6.1%,5.6%,0.5%,9.3%,9.1%,0.3%
172,1310371584,P. McDonald,Parker McDonald,McDonald,Parker,3B,Samford University,SAM,730386432,Samford,BBC,R,R,53,221,11.3%,12.6%,-1.3%,7.2%,6.6%,0.6%,0.5%,0.6%,-0.1%,5.9%,5.6%,0.3%,13.6%,11.0%,2.5%
173,1174785792,A. Aroz,Anson Aroz,Aroz,Anson,LF,University of Oregon,ORE,4807,Oregon,BBC,S,R,57,257,11.3%,11.7%,-0.4%,3.5%,3.5%,-0.0%,0.0%,0.5%,-0.5%,6.6%,5.6%,1.0%,10.1%,7.5%,2.6%
174,1099180800,J. Palmese,Jamie Palmese,Palmese,Jamie,CF,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,58,266,13.5%,13.4%,0.1%,4.9%,5.1%,-0.2%,0.8%,0.5%,0.3%,6.4%,5.6%,0.8%,12.0%,9.6%,2.4%
175,1134044672,J. McCombs,Jacob McCombs,McCombs,Jacob,CF,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,58,270,17.4%,21.3%,-3.9%,5.9%,5.9%,0.1%,1.9%,0.7%,1.1%,4.8%,5.6%,-0.7%,12.6%,10.4%,2.2%
176,1299762688,M. Schark,Matt Schark,Schark,Matt,3B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,57,279,13.3%,9.5%,3.8%,6.5%,7.4%,-1.0%,0.4%,0.8%,-0.4%,8.6%,5.6%,3.1%,15.4%,11.6%,3.8%
177,1105854834,J. Jaconski,Jesse Jaconski,Jaconski,Jesse,LF,Penn State University,PSU,5326,Penn State,BBC,R,R,55,235,14.5%,15.1%,-0.6%,6.0%,5.4%,0.6%,0.4%,0.8%,-0.3%,5.1%,5.5%,-0.4%,11.5%,10.2%,1.3%
