Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,BF,ERA,FIP,xFIP,WHIP,BA,OBP,SLG,OPS,K%,BB%,HR%,BABIP,OutRate,wOBA,LOB%
,1500574460,B. Ballinger,Brady Ballinger,Ballinger,Brady,1B,University of Kansas,KU,730360064,Kansas,BBC,L,L,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1591455079,J. Flaggert,Jarrett Flaggert,Flaggert,Jarrett,3B,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1976265199,J. Smith,Jackson Smith,Smith,Jackson,1B,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1083731007,J. Lemm,Johnny Lemm,Lemm,Johnny,C,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1249665393,T. Williams,Thomas Williams,Williams,Thomas,2B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,S,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1382478906,G. Petrucelli,Gabe Petrucelli,Petrucelli,Gabe,2B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1393762000,C. Carter,Cameron Carter,Carter,Cameron,CF,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,L,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1422589131,K. Hall,Kaleb Hall,Hall,Kaleb,RF,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1908193693,C. Lofton,Cecil Lofton,Lofton,Cecil,1B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1064606452,T. Anderson,TJ Anderson,Anderson,TJ,LF,The Citadel,CIT,730366720,The Citadel,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1342169213,L. Smith,Lucas Smith,Smith,Lucas,RF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1500019535,C. Holmes,Christian Holmes,Holmes,Christian,3B,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1641964302,C. Husko,Colin Husko,Husko,Colin,2B,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1658817662,R. Lane,Robbie Lane,Lane,Robbie,2B,The Citadel,CIT,730366720,The Citadel,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1771462962,W. Flanigan,Will Flanigan,Flanigan,Will,1B,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1161900581,H. Markham,Houston Markham,Markham,Houston,RF,Troy University,TROY,730378496,Troy,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1200908413,G. Rusch,Garrett Rusch,Rusch,Garrett,2B,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1339859835,L. Akers,Landon Akers,Akers,Landon,SS,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1342169047,J. Wax,Jakob Wax,Wax,Jakob,SS,Troy University,TROY,730378496,Troy,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
